drug_name,num_prescriber,total_cost
HARVONI,50,53203807
CRESTOR,1481,26362637
REVLIMID,53,25405821
LANTUS SOLOSTAR,1031,22424544
ADVAIR DISKUS,1297,19874576
JANUVIA,1005,19747942
SPIRIVA,1088,18939923
LANTUS,935,16769101
NEXIUM,1091,16554988
LYRICA,1147,15994366
ENBREL,81,14012866
ABILIFY,345,13627530
XARELTO,807,13213336
RENVELA,163,12985294
LEVEMIR FLEXTOUCH,587,10819724
SENSIPAR,159,10736409
ZETIA,834,10655416
COPAXONE,46,10532052
SYMBICORT,881,10296480
NOVOLOG FLEXPEN,477,9867254
GLEEVEC,42,9526109
NAMENDA XR,476,9140174
HUMIRA PEN,79,9066389
OXYCONTIN,438,8712117
ELIQUIS,479,8124321
TRUVADA,75,7948703
LEVOTHYROXINE SODIUM,2470,7583570
ATORVASTATIN CALCIUM,2619,7174852
HYDROCODONE-ACETAMINOPHEN,3086,7128737
DULOXETINE HCL,1546,6956545
RESTASIS,264,6241832
INVEGA SUSTENNA,81,6137486
ARIPIPRAZOLE,275,6028571
METOPROLOL SUCCINATE,2033,6009385
TECFIDERA,29,5714734
ZYTIGA,34,5648165
ORENITRAM ER,6,5643700
PROAIR HFA,1774,5467720
SEROQUEL XR,215,5403367
IMBRUVICA,23,5380151
NAMENDA,515,5353259
OXYCODONE-ACETAMINOPHEN,1738,5107941
GABAPENTIN,2681,4766972
LATUDA,155,4731207
TRACLEER,16,4715347
PRADAXA,362,4517166
SOVALDI,8,4489211
OMEPRAZOLE,2732,4476485
ADCIRCA,16,4434799
VESICARE,479,4427869
NOVOLOG,316,4379233
HUMALOG KWIKPEN U-100,308,4282389
POTASSIUM CHLORIDE,1776,4125872
PRAVASTATIN SODIUM,1807,4076622
LIDOCAINE,304,4061605
JAKAFI,21,4049799
CELECOXIB,801,4044514
VICTOZA 3-PAK,196,4024081
GILENYA,19,4018748
DEXILANT,425,3921561
TRADJENTA,314,3824214
AVONEX PEN,30,3787907
TAMSULOSIN HCL,1635,3751154
ATRIPLA,36,3719504
